Title,Year,Journal,Method,Data,Application,Performance
Exploring inter-trial coherence for inner speech classification in    EEG-based brain-computer interface,2024.0,Journal Of Neural Engineering,FEATURE EXTRACTION,N/A,N/A,N/A
A Self Produced Mother Wavelet Feature Extraction Method for Motor    Imagery Brain-Computer Interface,2013.0,2013 35Th Annual International Conference Of The Ieee Engineering In    Medicine And Biology Society (Embc),FEATURE EXTRACTION,N/A,Motor Decoding / Neuroprosthesis,压缩率(CR):2.02%
Learning EEG Representations With Weighted Convolutional Siamese    Network: A Large Multi-Session Post-Stroke Rehabilitation Study,2022.0,Ieee Transactions On Neural Systems And Rehabilitation Engineering,FEATURE EXTRACTION,N/A,Motor Decoding / Neuroprosthesis,N/A
Source Space Based Brain Computer Interface,2010.0,17Th International Conference On Biomagnetism Advances In Biomagnetism -    Biomag2010,FEATURE EXTRACTION,N/A,Motor Decoding / Neuroprosthesis,N/A
Recognizing Tonal and Nontonal Mandarin Sentences for EEG-Based    Brain-Computer Interface,2022.0,Ieee Transactions On Cognitive And Developmental Systems,FEATURE EXTRACTION,ECOG,N/A,压缩率(CR):98.82%
"Magnetic resonance imaging (MRI) radiomics in paediatric neuro-oncology:    A systematic review of clinical applications, feature interpretation,    and biological insights in the characterisation and management of    childhood brain tumours",2025.0,Digital Health,FEATURE EXTRACTION | PCA | AFE,N/A,N/A,N/A
Brain Computer Interface Systems Using Non-Invasive Electroencephalogram    Signal: A Literature Review,2017.0,"2017 International Conference On Engineering, Technology And Innovation    (Ice/Itmc)",FEATURE EXTRACTION | PCA | NON-INVASIVE ELECTROENCEPHALOGRAM    SIGNAL: A LITERATURE REVIEW,N/A,N/A,N/A
Optimal EEG Feature Extraction based on R-square Coefficients for Motor    Imagery BCI System,2012.0,"2012 12Th International Conference On Control, Automation And Systems    (Iccas)",FEATURE EXTRACTION | R-SQUARE COEFFICIENTS FOR MOTOR    IMAGERY BCI SYSTEM,N/A,Motor Decoding / Neuroprosthesis,N/A
Extraction of Parkinson's Disease-Related Features from Local Field    Potentials for Adaptive Deep Brain Stimulation,2018.0,Neurophysiology,FEATURE EXTRACTION,LOCAL FIELD POTENTIAL | LFP,Closed-loop Stimulation,N/A
Decoding the neural signatures of valence and arousal from portable EEG    headset,2022.0,Frontiers In Human Neuroscience,FEATURE EXTRACTION,ECOG,N/A,N/A
Epilepsy Prediction Based on Intra- and Inter-channel Feature Mixing,2026.0,"Artificial Neural Networks And Machine Learning-Icann 2025, Pt Iv",FEATURE EXTRACTION | INTRA- AND INTER-CHANNEL FEATURE MIXING,N/A,Seizure Detection / Epilepsy,N/A
Personalized Offline and Pseudo-Online BCI Models to Detect Pedaling    Intent,2017.0,Frontiers In Neuroinformatics,FEATURE EXTRACTION,N/A,N/A,压缩率(CR):76.7%
Response Monitoring Using Quantitative Ultrasound Methods and Supervised    Dictionary Learning in Locally Advanced Breast Cancer,2016.0,Medical Imaging 2016: Image Processing,FEATURE EXTRACTION | ASIC | QUANTITATIVE ULTRASOUND METHODS AND SUPERVISED    DICTIONARY LEARNING IN LOCALLY ADVANCED BREAST CANCER,N/A,N/A,N/A
FAST EMOTION DETECTION FROM EEG USING ASYMMETRIC SPATIAL FILTERING,2012.0,"2012 Ieee International Conference On Acoustics, Speech And Signal    Processing (Icassp)",FEATURE EXTRACTION | ASYMMETRIC SPATIAL FILTERING,N/A,N/A,N/A
