TI,AB,DE,PY,AU,SO,Decision,Reason_Code
EEG-based BCI System via Arithmetic and Emotional Imagery,"Nowadays, the number of severe disabled ( a totally dependent or assisted living) is dramatically increased due to the increasing rates of accident and brain disease. Therefore, this paper proposes a novel modality of brain-computer interface ( BCI) system as an alternative assistive tool for the severe disabled. The use of EEG based emotional and arithmetic imagery from the pre-frontal area is employed. Linear discriminant analysis ( LDA) is used to classify emotional and arithmetic imagery by using spontaneous EEG. The comparison between linear and quadric functions of LDA classifier isproposed. The results of the proposed BCI modality as well as its processing algorithm as LDA with quadric can achieve 86% accuracy function. Hence, this system can be one of the potential assistive tools for the serve disabled in their daily activities. C1 [Punsawad, Yunuong] Silpakorn Univ, Dept Elect Engn, Fac Engn & Ind Technol, Nakhon Pathom, Thailand.    [Uengamphon, Juthamat; Wongsawat, Yodchanan] Mahidol Univ, Dept Biomed Engn, Fac Engn, Nakhon Pathom, Thailand. C3 Silpakorn University; Mahidol University",Emotional Imagery; Electroencephalography EEG; Brain Computer Interface    BCI,2014,"Punsawad, Y    Uengamphon, J    Wongsawat, Y",2014 7TH BIOMEDICAL ENGINEERING INTERNATIONAL CONFERENCE (BMEICON),Exclude,E3 - Non-human study
Demonstration of Joie: A Joy-based Brain-Computer Interface (BCI) with    Wearable Skin Conformal Polymer Electrodes,"We designed Joie, a joy-based electroencephalography (EEG) brain-computer interface (BCI). Users interact with Joie by imagining joyous thoughts and images that alter their prefrontal EEG asymmetries. These asymmetries control their character's movement in an endless runner video game, where joyous thoughts cause left prefrontal asymmetry that leads to receiving a reward. In this demonstration, we present Joie with a wearable, dry skin conformal polymer electrode EEG headband. We conducted a pilot evaluation (11 participants, 3 training sessions per participant) to assess neurofeedback efficacy and workload. We observed that our participants were able to perform relative left activation significantly greater than right activation and create single-session improvements in resting baseline asymmetry. We also report on perceived user demand, effort and performance. C1 [Vujic, Angela; Martin, Ashley; Nisal, Shreyas; Mohammed, Manaal; Maes, Pattie] MIT, Media Lab, Cambridge, MA 02139 USA. C3 Massachusetts Institute of Technology (MIT)",Brain-computer interfaces (BCI); Wearable technology; Affect,2023,"Vujic, A    Martin, A    Nisal, S    Mohammed, M    Maes, P","ADJUNCT PROCEEDINGS OF THE 36TH ANNUAL ACM SYMPOSIUM ON USER INTERFACE    SOFTWARE & TECHNOLOGY, UIST 2023 ADJUNCT",Exclude,E3 - Non-human study
A Review on Adaptive Classifiers for BCI Classification,"A Brain-Computer Interface (BCI) aims at providing a way for controlling external devices through the utilization of brain signals. One of the challenges in electroencephalography (EEG)-based BCI is to adjust the brain signal decoder to detect a user's intention as accurately and efficiently as possible, as EEG signals are non-stationary. Therefore, adaptive classification, an approach to adapt to the changes of the EEG signals, would be effective in overcoming this problem. This paper provides a review of the representative adaptive classifiers used in BCI, and it can be divided into four categories: adaptive linear discriminant analysis, adaptive support vector machine, adaptive Bayesian classifiers and adaptive Riemannian Geometry-based classifiers. Besides, the pros and cons of these adaptive classification algorithms are further described. C1 [Su, Yuqi] Sun Yat Sen Univ, Sch Intelligent Syst Engn, Shenzhen, Guangdong, Peoples R China. C3 Sun Yat Sen University",Brain-Computer Interface (BCI); adaptive classification;    electroencephalography (EEG),2021,"Su, YQ","PROCEEDINGS OF THE 2021 INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND    INTELLIGENT COMPUTING, BIC 2021",Exclude,E3 - Non-human study
ERROR ENTROPY BASED ADAPTIVE KERNEL CLASSIFICATION FOR NON-STATIONARY    EEG ANALYSIS,"The performance of Brain-Computer Interface (BCI) applications are sometimes hindered by non-stationarity in the EEG data from sessions on different days. This paper proposes an algorithm for adaptive training of a SVM classifier to address the non-stationarity in EEG by adapting the kernel to data from subsequent sessions. The kernel width parameter of the kernel function of the SVM classifier is adapted using an information theoretic cost function based on minimum error entropy (MEE). An experiment is performed using the proposed method on EEG data collected without feedback from 12 healthy subjects in two sessions on separate days. The results using the proposed method yielded a mean accuracy of 75%, which is significantly better compared to the baseline result of 67% without kernel adaptation (P=0.00029). C1 [Liyanage, S. R.; Xu, J. -X.; Lee, T. H.] Natl Univ Singapore, Singapore 117548, Singapore.    [Guan, C. T.; Zhang, H. H.; Ang, K. K.] ASTAR, Inst Infocomm Res, Singapore, Singapore. C3 National University of Singapore; Agency for Science Technology &    Research (A*STAR); A*STAR - Institute for Infocomm Research (I2R)",Brain-computer interface (BCI); electroencephalography (EEG);    classification; adaptation,2013,"Liyanage, SR    Guan, CT    Zhang, HH    Ang, KK    Xu, JX    Lee, TH","2013 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL    PROCESSING (ICASSP)",Exclude,E3 - Non-human study
A Brain-Computer Interface for Robot Navigation,"A brain-computer interface (BCI) system has been developed for a user to navigate a robot via ""thinking"". The user's intent was extracted from the P300 response of the recorded EEG signals using the BCI2000 platform. This paper describes the design, development and testing of this new application: to remotely control the motion of a robot using EEG (electroencephalogram) data collected during real-time trials. C1 [Nawroj, Ahsan I.; Wang, Siyuan; Yu, Yih-Choung] Lafayette Coll, Dept Elect & Comp Engn, Easton, PA 18042 USA.    [Gabel, Lisa] Lafayette Coll, Dept Psychol, Easton, PA 18042 USA.    [Gabel, Lisa] Lafayette Coll, Neurosci Program, Easton, PA 18042 USA. C3 Lafayette College; Lafayette College; Lafayette College",BCI; EEG; remote; robot; wireless,2012,"Nawroj, AI    Wang, SY    Yu, YC    Gabel, L",2012 38TH ANNUAL NORTHEAST BIOENGINEERING CONFERENCE (NEBEC),Include,Pass
Voting Strategy to Enhance Multimodel EEG-Based Classifier Systems for    Motor Imagery BCI,"This paper presents the influence of the voting strategy to enhance the classification rates in motor imagery of brain-computer interface (BCI) systems. The motor imagery is the three-class problem of left-hand movement imagination, right-hand movement imagination, and word generation. An algorithm based on neural networks and fuzzy theory (S-dFasArt) is used to classify spontaneous mental activities from electroencephalogram signals, in order to operate a noninvasive BCI. This algorithm allows obtaining several prediction models. The voting among these prediction results improves the success rates of the classifier method. The number of models and the size of the data set have been analyzed obtaining some recommendation rules for practitioners. An improvement of more than 12% can be expected. C1 [Almonacid, Miguel; Ibarrola, Julio; Cano-Izquierdo, Jose-Manuel] Univ Politecn Cartagena, Dept Syst Engn & Automat, Murcia 30202, Spain. C3 Universidad Politecnica de Cartagena",Brain-Computer interface (BCI); electroencephalography; motor imagery;    neuro-fuzzy systems,2016,"Almonacid, M    Ibarrola, J    Cano-Izquierdo, JM",IEEE SYSTEMS JOURNAL,Exclude,E4 - Pure Algorithm/DL
Identification of motor imagery parameters from EEG using SVM,"Brain Computer Interface (BCI) is a technology to control devices such as prosthetics, cars, robots and other control related applications using brain signal directly. Currently, EEG-based BCIs are mostly based on classification between different limb effectors, and only few commands can be generated directly. To increase the command number and control efficiency, both clench force parameters and clench speed parameters has been studied independently. In this paper, we try to decode speed and force hand movement imagination at the same time. Alpha band power of EEG signal is extracted as feature and then classified by Support Vector Machine (SVM). The primary result shows that speed and force motor imagery of the same hand is distinguishable, which may increase direct BCI control commands in the future. C1 [Xu, B. L.; Yin, X. X.; Shi, G.; Li, H. Y.] Chinese Acad Sci, SIA, State Key Lab Robot, Shenyang 110016, Peoples R China.    [Xu, B. L.; Yin, X. X.] Univ Chinese Acad Sci, Beijing, Peoples R China.    [Fu, Y. F.] Kunming Univ Sci & Technol, Sch Automat & Informat Engn, Kunming, Peoples R China.    [Li, H. Y.] Northeastern Univ, Sch Mech Engn Automat, Shenyang, Peoples R China.    [Wang, Z. D.] Chiba Inst Technol, Dept Adv Robot, Chiba, Japan. C3 Chinese Academy of Sciences; Chinese Academy of Sciences; University of    Chinese Academy of Sciences, CAS; Kunming University of Science &    Technology; Northeastern University - China; Chiba Institute of    Technology",Brain-Computer Interface (BCI); motor imagery parameters; Support Vector    Machine (SVM),2014,"Xu, BL    Yin, XX    Fu, YF    Shi, G    Li, HY    Wang, ZD",INFORMATION TECHNOLOGY AND COMPUTER APPLICATION ENGINEERING,Exclude,E3 - Non-human study
DE-NOISING OF EEG SIGNAL FOR EMOTION RECOGNITION,"Brain Computer Interface (BCI) systems are the devices which are proposed to help the patients incapable of making motor response to communicate with external device like computer using brain signal. Signal pre-processing is the first phase in emotion recognition from EEG signal. This part of BCI is the most vital part of the system as the accuracy of the system determined in the next phase will be based on the acquired results. Hence, several different techniques have been reported that quantify the information of the brain signal. In this paper, the performance of DWT db4 level1-has been compared with other existing algorithms in terms of SNR, PSNR and Noise Covariance for de-noising the signal. C1 [Vaid, Swati; Singh, Preeti] Panjab Univ, UIET, Dept ECE, Chandigarh, India. C3 Panjab University",Electroencephalogram (EEG); Brain Computer Interface (BCI); Discrete    Wavelet Transform (DWT); SNR(Signal to Noise Ratio); PSNR(Peak-Peak SNR)    and Noise Covariance,2015,"Vaid, S    Singh, P","2015 INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING, COMPUTING AND    CONTROL (ISPCC)",Include,Pass
A cell-phone-based brain-computer interface for communication in daily    life,"Moving a brain-computer interface (BCI) system from a laboratory demonstration to real-life applications still poses severe challenges to the BCI community. This study aims to integrate a mobile and wireless electroencephalogram (EEG) system and a signal-processing platform based on a cell phone into a truly wearable and wireless online BCI. Its practicality and implications in a routine BCI are demonstrated through the realization and testing of a steady-state visual evoked potential (SSVEP)-based BCI. This study implemented and tested online signal processing methods in both time and frequency domains for detecting SSVEPs. The results of this study showed that the performance of the proposed cell-phone-based platform was comparable, in terms of the information transfer rate, with other BCI systems using bulky commercial EEG systems and personal computers. To the best of our knowledge, this study is the first to demonstrate a truly portable, cost-effective and miniature cell-phone-based platform for online BCIs. C1 [Wang, Yu-Te; Wang, Yijun; Jung, Tzyy-Ping] Univ Calif San Diego, Swartz Ctr Computat Neurosci, Inst Neural Computat, La Jolla, CA 92093 USA. C3 University of California System; University of California San Diego",,2011,"Wang, YT    Wang, YJ    Jung, TP",JOURNAL OF NEURAL ENGINEERING,Exclude,E3 - Non-human study
Electroencephalogram signal analysis with 1T1R arrays toward    high-efficiency brain computer interface,"Brain computer interface (BCI) is a promising way for automatic driving and exploring brain functions. As the number of electrodes for electroencephalogram (EEG) acquisition continues to grow, the signal processing capabilities of BCI are facing challenges. Considering the bottlenecks of the Von Neumann architecture, it is increasingly difficult for the traditional digital computing pattern to meet the requirements of the EEG signal processing in terms of power consumption and efficiency. Here, we propose a 1T1R array-based EEG signal analysis system in which the biological likelihood of the memristor is used to efficiently analyze signals in the simulated domain. The identification and classification of EEG signals are achieved experimentally using the memristor array with an average recognition rate of 89.83%. The support vector machine classification implemented by the memristor crossbar array provides a 34.4 times improvement in power efficiency compared to the complementary metal oxide semiconductor-based support vector machine classifier. This work provides new ideas for the application of memristors in BCI. (C) 2022 Author(s). C1 [Li, Jiwei] Natl Univ Def Technol, Res Inst 63, Nanjing 210007, Peoples R China.    [Tong, Peiwen; Xu, Hui; Sun, Yi; Wang, Yongzhou; Wang, Wei] Natl Univ Def Technol, Coll Elect Sci, Changsha 410073, Peoples R China. C3 National University of Defense Technology - China; National University    of Defense Technology - China",,2022,"Tong, PW    Xu, H    Sun, Y    Wang, YZ    Wang, W    Li, JW",AIP ADVANCES,Exclude,E3 - Non-human study
State of the Art of Non-Invasive Electrode Materials for Brain-Computer    Interface,"The brain-computer interface (BCI) has emerged in recent years and has attracted great attention. As an indispensable part of the BCI signal acquisition system, brain electrodes have a great influence on the quality of the signal, which determines the final effect. Due to the special usage scenario of brain electrodes, some specific properties are required for them. In this study, we review the development of three major types of EEG electrodes from the perspective of material selection and structural design, including dry electrodes, wet electrodes, and semi-dry electrodes. Additionally, we provide a reference for the current chaotic performance evaluation of EEG electrodes in some aspects such as electrochemical performance, stability, and so on. Moreover, the challenges and future expectations for EEG electrodes are analyzed. C1 [Yuan, Haowen; Li, Yao; Yang, Junjun; Li, Hongjie; Yang, Qinya; Guo, Cuiping; Zhu, Shenmin] Shanghai Jiao Tong Univ, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China.    [Shu, Xiaokang] Shanghai Jiao Tong Univ, Sch Mech Engn, Shanghai 200240, Peoples R China. C3 Shanghai Jiao Tong University; Shanghai Jiao Tong University",brain-electrode interface; EEG electrodes; dry electrodes; wet    electrodes; semi-dry electrodes,2021,"Yuan, HW    Li, Y    Yang, JJ    Li, HJ    Yang, QY    Guo, CP    Zhu, SM    Shu, XK",MICROMACHINES,Include,Pass
EEGTCT: Electroencephalogram-Based Chinese Text Decoding,"With the rapid development of artificial intelligence and brain science, decoding text from brain signals for cognitive brain-computer interface (BCI) has garnered increasing attention. Among various brain signals, electroencephalography (EEG), a non-invasive modality, offers advantages such as ease of acquisition and high temporal resolution. This paper proposes a method for EEG signal acquisition based on control question stimulation with 8 electrode channels and introduces the ChiCo dataset, which aligns 1040 Chinese text corpora with EEG data. Furthermore, we present a novel framework, EEGTCT, based on the BART model and discrete codex coding, to decode EEG into corresponding Chinese text, achieving a BLEU-1 score of 52.95 on the ChiCo dataset. The findings provide valuable insights for improving BCI for individuals with speech disorders and for understanding the neural mechanisms of Chinese language processing. C1 [Zhang, Sibo; Yu, Bihui; Wei, Jingxuan; Sun, Linzhuang; Bu, Liping] Chinese Acad Sci, Shenyang Inst Comp Technol, Shenyang, Peoples R China.    [Zhang, Sibo; Yu, Bihui; Wei, Jingxuan; Sun, Linzhuang; Bu, Liping] Univ Chinese Acad Sci, Beijing, Peoples R China.    [Zhou, Lili; Wang, Gang] Heilongjiang Acad Sci, Intelligent Mfg Inst, Harbin, Peoples R China. C3 Chinese Academy of Sciences; Chinese Academy of Sciences; University of    Chinese Academy of Sciences, CAS; Heilongjiang Academy of Sciences",Electroencephalogram; Brain computer interface; Data acquisition;    Language model; Text decoding,2025,"Zhang, SB    Yu, BH    Zhou, LL    Wang, G    Wei, JX    Sun, LZ    Bu, LP","ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, ICIC 2025,    PT XXI",Include,Pass
