id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Citations>,weight<Norm. citations>,score<Pub. year>,score<Citations>,score<Norm. citations>
3,zhang (2022a),"<table><tr><td>Authors:</td><td>zhang, shuailei; ang, kai keng; zheng, dezhi; hui, qianxin; chen, xinlei; li, yang; tang, ning; chew, effie; lim, rosary yuting; guan, cuntai</td></tr><tr><td>Title:</td><td>learning eeg representations with weighted convolutional siamese network: a large multi-session post-stroke rehabilitation study</td></tr><tr><td>Source:</td><td>ieee transactions on neural systems and rehabilitation engineering, 30, 2824-2833</td></tr><tr><td>Year:</td><td>2022</td></tr></table>",https://doi.org/10.1109/tnsre.2022.3209155,-0.4533,-0.3621,4,244,494,21,1.4682,2022,21,1.4682
5,yang (2022a),"<table><tr><td>Authors:</td><td>yang, shiau-ru; jung, tzyy-ping; lin, chin-teng; huang, kuan-chih; wei, chun-shu; chiueh, herming; hsin, yue-loong; liou, guan-ting; wang, li-chun</td></tr><tr><td>Title:</td><td>recognizing tonal and nontonal mandarin sentences for eeg-based brain-computer interface</td></tr><tr><td>Source:</td><td>ieee transactions on cognitive and developmental systems, 14(4), 1666-1677</td></tr><tr><td>Year:</td><td>2022</td></tr></table>",https://doi.org/10.1109/tcds.2021.3137251,0.2694,-0.0182,2,186,256,5,0.3496,2022,5,0.3496
10,garg (2022),"<table><tr><td>Authors:</td><td>garg, nikhil; garg, rohit; anand, apoorv; baths, veeky</td></tr><tr><td>Title:</td><td>decoding the neural signatures of valence and arousal from portable eeg headset</td></tr><tr><td>Source:</td><td>frontiers in human neuroscience, 16</td></tr><tr><td>Year:</td><td>2022</td></tr></table>",https://doi.org/10.3389/fnhum.2022.1051463,0.7448,-0.0056,2,289,666,8,0.5593,2022,8,0.5593
18,mohamed (2024a),"<table><tr><td>Authors:</td><td>mohamed, amr f.; jusas, vacius</td></tr><tr><td>Title:</td><td>comprehensive analysis of feature extraction methods for emotion recognition on motor imagery from multichannel eeg recordings</td></tr><tr><td>Source:</td><td>good practices and new perspectives in information systems and, 986, 211-231</td></tr><tr><td>Year:</td><td>2024</td></tr></table>",https://doi.org/10.1007/978-3-031-60218-4_20,0.8626,-0.0027,2,229,517,3,0.5603,2024,3,0.5603
24,guo (2023),"<table><tr><td>Authors:</td><td>guo, wenhui; xu, guixun; wang, yanjiang</td></tr><tr><td>Title:</td><td>multi-source domain adaptation with spatio-temporal feature extractor for eeg emotion recognition</td></tr><tr><td>Source:</td><td>biomedical signal processing and control, 84</td></tr><tr><td>Year:</td><td>2023</td></tr></table>",https://doi.org/10.1016/j.bspc.2023.104998,1.0046,-0.2353,2,233,711,46,4.1648,2023,46,4.1648
25,fan (2025),"<table><tr><td>Authors:</td><td>fan, cunhang; yang, fan; zhang, jingjing; sun, jingpeng; che, hao; hu, su; wen, zhengqi; lv, zhao</td></tr><tr><td>Title:</td><td>a domain adaptation framework by aligning the inverse gram matrices for cross-subject motor imagery classification</td></tr><tr><td>Source:</td><td>ieee transactions on consumer electronics, 71(2), 5390-5403</td></tr><tr><td>Year:</td><td>2025</td></tr></table>",https://doi.org/10.1109/tce.2025.3573773,-0.1488,-0.3529,4,266,517,1,0.5003,2025,1,0.5003
27,zhang (2018a),"<table><tr><td>Authors:</td><td>zhang, ranran; xiao, xiaoyan; liu, zhi; jiang, wei; li, jianwen; cao, yankun; ren, jianmin; jiang, dongmei; cui, lizhen</td></tr><tr><td>Title:</td><td>a new motor imagery eeg classification method fb-trcsp plus rf based on csp and random forest</td></tr><tr><td>Source:</td><td>ieee access, 6, 44944-44950</td></tr><tr><td>Year:</td><td>2018</td></tr></table>",https://doi.org/10.1109/access.2018.2860633,-0.7979,-0.3731,1,196,365,24,1.1187,2018,24,1.1187
33,yang (2024a),"<table><tr><td>Authors:</td><td>yang, cheng; wang, shiyu; peng, yiteng; zhang, zhichao; kong, lei; zhou, chuyi; tao, ye; chen, xiaoyu</td></tr><tr><td>Title:</td><td>online bci systems: cross-subject motor imagery classification based on weighted time-domain feature extraction methods</td></tr><tr><td>Source:</td><td>journal of engineering design, 35(6), 685-708</td></tr><tr><td>Year:</td><td>2024</td></tr></table>",https://doi.org/10.1080/09544828.2024.2326396,-0.6908,-0.1366,1,217,352,2,0.3735,2024,2,0.3735
37,shen (2023),"<table><tr><td>Authors:</td><td>shen, jian; zhang, yanan; liang, huajian; zhao, zeguang; dong, qunxi; qian, kun; zhang, xiaowei; hu, bin</td></tr><tr><td>Title:</td><td>exploring the intrinsic features of eeg signals via empirical mode decomposition for depression recognition</td></tr><tr><td>Source:</td><td>ieee transactions on neural systems and rehabilitation engineering, 31, 356-365</td></tr><tr><td>Year:</td><td>2023</td></tr></table>",https://doi.org/10.1109/tnsre.2022.3221962,0.3044,0.1864,3,243,314,61,5.5229,2023,61,5.5229
42,ren (2023),"<table><tr><td>Authors:</td><td>ren, qirui; sun, xiaofan; fu, xiangqu; zhang, shuaidi; yuan, yiyang; wu, hao; li, xiaoran; wang, xinghua; zhang, feng</td></tr><tr><td>Title:</td><td>a review of automatic detection of epilepsy based on eeg signals</td></tr><tr><td>Source:</td><td>journal of semiconductors, 44(12)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>",https://doi.org/10.1088/1674-4926/44/12/121401,-0.1414,0.723,3,103,211,3,0.2716,2023,3,0.2716
